"","BAT_1","BAT_2","BAT_3","BAT_4","BAT_cold_1","BAT_cold_2","BAT_cold_3","BAT_cold_4","WAT_1","WAT_2","WAT_3","WAT_4","WAT_cold_1","WAT_cold_2","WAT_cold_3","WAT_cold_4"
"ENSMUSG00000030105",6763,7704,6403,6526,6560,8061,7679,7670,6241,6672,6491,6687,7262,6658,7138,7721
"ENSMUSG00000096054",1878,1700,1762,1678,2833,3383,3365,3034,4418,4570,4276,3628,4838,4100,4118,4743
"ENSMUSG00000065904",16,17,12,18,11,6,4,5,20,11,9,10,6,16,12,17
"ENSMUSG00000020495",912,1090,1026,1009,546,811,726,699,1385,1297,1071,1026,1166,1298,1240,1255
"ENSMUSG00000058979",2234,2402,2139,1833,1353,1441,1517,1440,3188,2552,2885,2140,1544,2358,2164,2170
"ENSMUSG00000094006",0,77,1,82,0,0,1,0,141,169,186,224,82,516,274,137
"ENSMUSG00000045903",8,3,16,12,3,7,15,5,107,103,82,73,8,66,49,59
"ENSMUSG00000038045",30,22,26,15,2,3,4,5,66,44,31,39,7,36,25,43
"ENSMUSG00000049536",646,560,618,584,195,256,241,212,503,520,468,539,470,442,562,600
"ENSMUSG00000027333",586,537,566,488,373,474,464,370,1200,1330,1282,904,1983,1040,1077,1107
"ENSMUSG00000085586",276,422,365,336,96,171,183,195,523,369,467,378,132,355,385,370
"ENSMUSG00000025237",2102,2248,2099,1908,2546,3220,3249,3162,2504,2519,2428,2209,2617,2390,2628,2632
"ENSMUSG00000006299",5219,5573,4826,4537,4871,5497,5395,5500,8125,7556,7372,7265,6692,7226,7035,8328
"ENSMUSG00000036792",1172,1141,1196,1062,751,767,742,723,1524,1517,1254,1113,1240,1604,1325,1372
"ENSMUSG00000021287",2064,1899,1890,1669,1047,1102,1133,1052,1842,1617,1666,1308,1503,1605,1533,1690
"ENSMUSG00000106962",13,3,3,5,0,2,1,0,38,30,13,23,4,33,13,22
"ENSMUSG00000041241",4129,4894,4070,4107,3587,4171,4385,4101,2076,2236,1875,1705,2747,2159,2467,2680
"ENSMUSG00000005540",40,29,32,30,8,23,51,16,17479,11979,16707,9722,2842,14602,9279,9850
"ENSMUSG00000021368",876,865,692,633,754,815,914,835,563,549,616,626,775,594,557,698
"ENSMUSG00000089651",9,3,4,5,2,5,6,6,14,20,17,15,25,20,14,25
"ENSMUSG00000041607",3132,1999,2025,1893,2512,5043,4756,5309,7816,8908,6651,7141,5613,5973,5077,6145
"ENSMUSG00000054146",0,9,0,0,0,22,3,1,112,3998,293,218,0,1316,646,722
"ENSMUSG00000001053",1101,1015,1105,1283,342,589,449,518,1258,1228,1156,799,657,1042,870,943
"ENSMUSG00000030374",4411,4590,3980,3997,2451,2811,2669,2735,7479,6510,6281,5804,4291,6449,5902,6655
