ID	BAT_3	BAT_4	BAT_cold_3	BAT_cold_4	BAT_1	BAT_2	BAT_cold_1	BAT_cold_2	WAT_cold_1	WAT_cold_2	WAT_cold_3	WAT_cold_4	WAT_1	WAT_2	WAT_3	WAT_4
ENSMUSG00000099985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030105	6403	6526	7679	7670	6763	7704	6560	8061	7262	6658	7138	7721	6241	6672	6491	6687
ENSMUSG00000105390	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000098001	2	4	4	2	4	2	2	2	1	2	6	4	10	3	10	2
ENSMUSG00000096054	1762	1678	3365	3034	1878	1700	2833	3383	4838	4100	4118	4743	4418	4570	4276	3628
ENSMUSG00000074445	0	0	0	0	0	0	0	0	0	5	15	24	2	6	0	0
ENSMUSG00000065586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065904	12	18	4	5	16	17	11	6	6	16	12	17	20	11	9	10
ENSMUSG00000020495	1026	1009	726	699	912	1090	546	811	1166	1298	1240	1255	1385	1297	1071	1026
ENSMUSG00000058979	2139	1833	1517	1440	2234	2402	1353	1441	1544	2358	2164	2170	3188	2552	2885	2140
ENSMUSG00000094006	1	82	1	0	0	77	0	0	82	516	274	137	141	169	186	224
ENSMUSG00000045903	16	12	15	5	8	3	3	7	8	66	49	59	107	103	82	73
ENSMUSG00000038045	26	15	4	5	30	22	2	3	7	36	25	43	66	44	31	39
ENSMUSG00000104326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099569	2	0	0	0	5	1	0	0	0	2	2	0	7	2	0	0
ENSMUSG00000065644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049536	618	584	241	212	646	560	195	256	470	442	562	600	503	520	468	539
ENSMUSG00000027333	566	488	464	370	586	537	373	474	1983	1040	1077	1107	1200	1330	1282	904
ENSMUSG00000087914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085586	365	336	183	195	276	422	96	171	132	355	385	370	523	369	467	378
ENSMUSG00000051156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025237	2099	1908	3249	3162	2102	2248	2546	3220	2617	2390	2628	2632	2504	2519	2428	2209
ENSMUSG00000006299	4826	4537	5395	5500	5219	5573	4871	5497	6692	7226	7035	8328	8125	7556	7372	7265
ENSMUSG00000077178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029608	0	0	0	0	2	0	0	1	1	1	6	3	4	4	2	2
ENSMUSG00000036792	1196	1062	742	723	1172	1141	751	767	1240	1604	1325	1372	1524	1517	1254	1113
ENSMUSG00000098407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021287	1890	1669	1133	1052	2064	1899	1047	1102	1503	1605	1533	1690	1842	1617	1666	1308
ENSMUSG00000089029	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ENSMUSG00000106962	3	5	1	0	13	3	0	2	4	33	13	22	38	30	13	23
ENSMUSG00000101753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041241	4070	4107	4385	4101	4129	4894	3587	4171	2747	2159	2467	2680	2076	2236	1875	1705
ENSMUSG00000099341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005540	32	30	51	16	40	29	8	23	2842	14602	9279	9850	17479	11979	16707	9722
ENSMUSG00000021368	692	633	914	835	876	865	754	815	775	594	557	698	563	549	616	626
ENSMUSG00000089651	4	5	6	6	9	3	2	5	25	20	14	25	14	20	17	15
ENSMUSG00000048655	2	1	0	0	7	9	2	1	2	6	5	4	4	10	3	5
ENSMUSG00000041607	2025	1893	4756	5309	3132	1999	2512	5043	5613	5973	5077	6145	7816	8908	6651	7141
ENSMUSG00000054146	0	0	3	1	0	9	0	22	0	1316	646	722	112	3998	293	218
ENSMUSG00000026163	5	1	1	1	1	2	1	8	21	7	3	4	4	21	7	9
ENSMUSG00000106940	2	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0
ENSMUSG00000001053	1105	1283	449	518	1101	1015	342	589	657	1042	870	943	1258	1228	1156	799
ENSMUSG00000085787	0	0	6	1	0	0	0	0	1	10	3	4	16	3	3	2
ENSMUSG00000030374	3980	3997	2669	2735	4411	4590	2451	2811	4291	6449	5902	6655	7479	6510	6281	5804
ENSMUSG00000034297	3207	3623	3107	2764	3675	4051	2201	2730	4628	8039	7146	7596	9795	8780	7241	6631
ENSMUSG00000065552	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000046714	19	6	3	4	13	26	2	10	12	25	10	22	32	37	15	18
ENSMUSG00000080820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105063	2	1	0	0	16	7	0	1	2	5	5	3	11	16	9	6
ENSMUSG00000032298	1112	832	857	861	1264	1070	674	893	1106	1436	1312	1531	1876	1488	1653	1322
ENSMUSG00000104791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097716	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1
ENSMUSG00000022594	4007	4685	3854	3616	3651	5261	3494	4587	2361	2314	2650	2434	2618	2292	2434	2095
ENSMUSG00000055958	1	1	0	3	6	1	1	1	1	7	4	1	12	1	6	7
ENSMUSG00000081941	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000060311	3	0	0	0	1	0	0	0	0	19	17	26	5	12	13	2
ENSMUSG00000000411	2	0	1	0	5	1	0	0	0	3	8	3	2	0	7	7
ENSMUSG00000082911	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0
ENSMUSG00000107329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085526	12	4	4	0	14	10	1	0	7	23	13	29	44	28	17	21
ENSMUSG00000098570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
